route_id,agency_id,route_short_name,route_long_name,route_type
277,3,TX324,አዉቶቡስ ተራ - ሜትሮሎጂ ፊት ለፊት  - ቄራ,3
278,3,TX325,አየር ጤና -  - ምዕራብ ሆቴል,3
301,3,TX354,ኪዳነምረት - በታቦት ማደሪያ - ሽሮሜዳ,3
279,3,TX326,አየር ጤና -  - ሜክሲኮ,3
280,3,TX327,አየር ጤና - ጀርመን አደባባይ - ጎፋ ገብርኤል,3
281,3,TX328,አየር ጤና - ጀርመን አደባባይ ጫፍ - ለቡ መ/ኃይል,3
282,3,TX330,አየር ጤና - አዲስ አበባ ቆሼ - ጀሞ መንደር,3
284,3,TX332,አደይ አበባ - ግሎባል አልፎ - ፒያሳ አራዳ,3
285,3,TX333,አደይ አበባ - ጎፋ መ/ኃይል - ጎፋ ገብርኤል,3
286,3,TX334,አደይ አበባ - ቃሊቲ ቶታል - አቃቂ ገበያ,3
287,3,TX335,አደይ አበባ  -  በቀበሌ 12/13 -  ሰፈር አምስት,3
324,3,TX399,ጀሞ መንደር - ለቡ መ/ኃይል - ላፍቶ 54 ማዞሪያ,3
288,3,TX336,አደይ አበባ  - በእስቴዲየም  - ፒያሳ,3
289,3,TX337,አደይ አበባ  - በቄራ -  ሜክሲኮ ጫፍ,3
290,3,TX338,አዲሱ ገበያ - ከኮካ ሹፉኔ - ሱሉልታ ,3
292,3,TX342,አጠና ተራ - በመሳለሚያ - ጊዮርጊስ,3
293,3,TX343,አጠና ተራ - በዊንጌት  - ስንቱ ህንፃ,3
297,3,TX347,አጣና ተራ -  - አለምባንክ ,3
306,3,TX360,ካራ - ወሰን ግሮሰሪ - መገናኛ ዲያስፖራ,3
302,3,TX355,ካሳንችስ - ስብሰባ ማዕከል - ሽሮሜዳ,3
303,3,TX356,ካሳንችስ - ጎጃም በረንዳ  - አዉቶቡስ ተራ ,3
